date,symbol,fundingRateTimestamp,fundingRate
2020-08-22,BTCUSDT,1598112000000,0.00013721
2020-08-23,BTCUSDT,1598140800000,0.0001
2020-08-23,BTCUSDT,1598169600000,0.0001
2020-08-23,BTCUSDT,1598198400000,0.0001
2020-08-24,BTCUSDT,1598227200000,0.0001
2020-08-24,BTCUSDT,1598256000000,0.0001
2020-08-24,BTCUSDT,1598284800000,0.0001
2020-08-25,BTCUSDT,1598313600000,0.0001
2020-08-25,BTCUSDT,1598342400000,0.00010167
2020-08-25,BTCUSDT,1598371200000,0.0001
2020-08-26,BTCUSDT,1598400000000,0.00053705
2020-08-26,BTCUSDT,1598428800000,0.00056153
2020-08-26,BTCUSDT,1598457600000,0.0001
2020-08-27,BTCUSDT,1598486400000,0.0001
2020-08-27,BTCUSDT,1598515200000,0.0001
2020-08-27,BTCUSDT,1598544000000,0.0001
2020-08-28,BTCUSDT,1598572800000,0.00010457
2020-08-28,BTCUSDT,1598601600000,0.0001
2020-08-28,BTCUSDT,1598630400000,0.0001
2020-08-29,BTCUSDT,1598659200000,0.0001
2020-08-29,BTCUSDT,1598688000000,0.0001
2020-08-29,BTCUSDT,1598716800000,0.0001
2020-08-30,BTCUSDT,1598745600000,0.0001
2020-08-30,BTCUSDT,1598774400000,0.0001
2020-08-30,BTCUSDT,1598803200000,0.0001
2020-08-31,BTCUSDT,1598832000000,0.0001
2020-08-31,BTCUSDT,1598860800000,0.0001
2020-08-31,BTCUSDT,1598889600000,0.0001
2020-09-01,BTCUSDT,1598918400000,0.00013918
2020-09-01,BTCUSDT,1598947200000,0.0001683
2020-09-01,BTCUSDT,1598976000000,0.0001095
2020-09-02,BTCUSDT,1599004800000,0.00073262
2020-09-02,BTCUSDT,1599033600000,0.00077836
2020-09-02,BTCUSDT,1599062400000,0.0003955
2020-09-03,BTCUSDT,1599091200000,0.00083047
2020-09-03,BTCUSDT,1599120000000,0.00067198
2020-09-03,BTCUSDT,1599148800000,0.0001
2020-09-04,BTCUSDT,1599177600000,0.00036114
2020-09-04,BTCUSDT,1599206400000,0.00024456
2020-09-04,BTCUSDT,1599235200000,0.0001
2020-09-05,BTCUSDT,1599264000000,0.0001
2020-09-05,BTCUSDT,1599292800000,0.0001
2020-09-05,BTCUSDT,1599321600000,0.0001
2020-09-06,BTCUSDT,1599350400000,0.0001
2020-09-06,BTCUSDT,1599379200000,0.0001
2020-09-06,BTCUSDT,1599408000000,0.0001
2020-09-07,BTCUSDT,1599436800000,0.0001
2020-09-07,BTCUSDT,1599465600000,0.0001
2020-09-07,BTCUSDT,1599494400000,0.0001
2020-09-08,BTCUSDT,1599523200000,0.0001
2020-09-08,BTCUSDT,1599552000000,0.0001
2020-09-08,BTCUSDT,1599580800000,0.0001
2020-09-09,BTCUSDT,1599609600000,0.0001
2020-09-09,BTCUSDT,1599638400000,0.0001
2020-09-09,BTCUSDT,1599667200000,0.0001
2020-09-10,BTCUSDT,1599696000000,0.0001
2020-09-10,BTCUSDT,1599724800000,0.0001
2020-09-10,BTCUSDT,1599753600000,0.0001
2020-09-11,BTCUSDT,1599782400000,0.0001
2020-09-11,BTCUSDT,1599811200000,0.0001
2020-09-11,BTCUSDT,1599840000000,0.0001
2020-09-12,BTCUSDT,1599868800000,0.0001
2020-09-12,BTCUSDT,1599897600000,0.0001
2020-09-12,BTCUSDT,1599926400000,0.0001
2020-09-13,BTCUSDT,1599955200000,0.0001
2020-09-13,BTCUSDT,1599984000000,0.0001
2020-09-13,BTCUSDT,1600012800000,0.0001
2020-09-14,BTCUSDT,1600041600000,0.0001
2020-09-14,BTCUSDT,1600070400000,0.0001
2020-09-14,BTCUSDT,1600099200000,0.00007039
2020-09-15,BTCUSDT,1600128000000,0.0001
2020-09-15,BTCUSDT,1600156800000,-0.00005709
2020-09-15,BTCUSDT,1600185600000,-0.0001474
2020-09-16,BTCUSDT,1600214400000,-0.00000849
2020-09-16,BTCUSDT,1600243200000,-0.00003895
2020-09-16,BTCUSDT,1600272000000,-0.00001319
